      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             1900  |          8093.51  |                1  |      6.02070e+06  |          4259.74  |  
      SF update  |             1899  |           87.258  |               23  |              176  |          45.9494  |  
      solvePath  |             1899  |          6214.52  |               39  |      6.01958e+06  |          3272.52  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2000  |          8226.22  |                1  |      6.02070e+06  |          4113.11  |  
      SF update  |             1999  |           92.745  |               23  |              176  |          46.3957  |  
      solvePath  |             1999  |          6225.32  |               39  |      6.01958e+06  |          3114.22  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2100  |          8355.69  |                1  |      6.02070e+06  |           3978.9  |  
      SF update  |             2099  |            98.14  |               23  |              176  |          46.7556  |  
      solvePath  |             2099  |          6235.92  |               39  |      6.01958e+06  |           2970.9  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2200  |          8482.67  |                1  |      6.02070e+06  |          3855.76  |  
      SF update  |             2199  |          103.328  |               23  |              176  |          46.9886  |  
      solvePath  |             2199  |          6246.58  |               39  |      6.01958e+06  |          2840.65  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2300  |          8584.54  |                1  |      6.02070e+06  |          3732.41  |  
      SF update  |             2299  |          107.682  |               23  |              176  |          46.8386  |  
      solvePath  |             2299  |          6255.26  |               39  |      6.01958e+06  |          2720.86  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2400  |          8696.66  |                1  |      6.02070e+06  |          3623.61  |  
      SF update  |             2399  |          112.383  |               23  |              176  |          46.8458  |  
      solvePath  |             2399  |           6264.6  |               39  |      6.01958e+06  |          2611.34  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2500  |          8809.97  |                1  |      6.02070e+06  |          3523.99  |  
      SF update  |             2499  |           117.07  |               23  |              176  |          46.8467  |  
      solvePath  |             2499  |          6273.94  |               39  |      6.01958e+06  |          2510.58  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2600  |          8936.48  |                1  |      6.02070e+06  |          3437.11  |  
      SF update  |             2599  |          122.471  |               23  |              211  |          47.1224  |  
      solvePath  |             2599  |          6284.56  |               39  |      6.01958e+06  |          2418.07  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2700  |          9053.55  |                1  |      6.02070e+06  |          3353.17  |  
      SF update  |             2699  |          127.191  |               23  |              211  |          47.1252  |  
      solvePath  |             2699  |          6294.31  |               39  |      6.01958e+06  |          2332.09  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2800  |          9139.05  |                1  |      6.02070e+06  |          3263.95  |  
      SF update  |             2799  |          131.077  |               23  |              211  |          46.8299  |  
      solvePath  |             2799  |          6302.11  |               39  |      6.01958e+06  |          2251.56  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             2900  |          9221.62  |                1  |      6.02070e+06  |          3179.87  |  
      SF update  |             2899  |          134.848  |               23  |              211  |          46.5154  |  
      solvePath  |             2899  |          6309.51  |               39  |      6.01958e+06  |          2176.44  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3000  |          9349.84  |                1  |      6.02070e+06  |          3116.61  |  
      SF update  |             2999  |          140.157  |               23  |              211  |          46.7346  |  
      solvePath  |             2999  |          6320.11  |               39  |      6.01958e+06  |           2107.4  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3100  |           9472.1  |                1  |      6.02070e+06  |          3055.52  |  
      SF update  |             3099  |          145.477  |               23  |              211  |          46.9432  |  
      solvePath  |             3099  |          6330.47  |               39  |      6.01958e+06  |          2042.74  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3200  |          9584.79  |                1  |      6.02070e+06  |          2995.25  |  
      SF update  |             3199  |          150.228  |               23  |              211  |          46.9609  |  
      solvePath  |             3199  |           6340.2  |               39  |      6.01958e+06  |          1981.93  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3300  |          9713.78  |                1  |      6.02070e+06  |          2943.57  |  
      SF update  |             3299  |          155.552  |               23  |              211  |          47.1513  |  
      solvePath  |             3299  |          6351.15  |               39  |      6.01958e+06  |          1925.17  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3400  |          9836.38  |                1  |      6.02070e+06  |          2893.05  |  
      SF update  |             3399  |          160.602  |               23  |              211  |          47.2498  |  
      solvePath  |             3399  |          6361.45  |               39  |      6.01958e+06  |          1871.56  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3500  |          9961.88  |                1  |      6.02070e+06  |          2846.25  |  
      SF update  |             3499  |          165.627  |               23  |              211  |          47.3355  |  
      solvePath  |             3499  |          6372.56  |               39  |      6.01958e+06  |          1821.25  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3600  |          10082.9  |                1  |      6.02070e+06  |          2800.82  |  
      SF update  |             3599  |          170.886  |               23  |              327  |          47.4815  |  
      solvePath  |             3599  |           6383.4  |               39  |      6.01958e+06  |          1773.66  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3700  |          10213.2  |                1  |      6.02070e+06  |          2760.31  |  
      SF update  |             3699  |          176.408  |               23  |              327  |          47.6907  |  
      solvePath  |             3699  |          6394.53  |               39  |      6.01958e+06  |          1728.72  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3800  |          10345.9  |                1  |      6.02070e+06  |           2722.6  |  
      SF update  |             3799  |          181.743  |               23  |              327  |          47.8397  |  
      solvePath  |             3799  |          6405.19  |               39  |      6.01958e+06  |          1686.02  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             3900  |          10485.7  |                1  |      6.02070e+06  |          2688.65  |  
      SF update  |             3899  |          187.492  |               23  |              327  |          48.0872  |  
      solvePath  |             3899  |           6416.5  |               39  |      6.01958e+06  |          1645.68  |  


      Call name  |  Number of calls  |  Cum runtime(ms)  |  Min runtime(us)  |  Max runtime(us)  |  Avg runtime(us)  |  
         lambda  |             4000  |            10616  |                1  |      6.02070e+06  |             2654  |  
      SF update  |             3999  |           192.77  |               23  |              327  |          48.2046  |  
      solvePath  |             3999  |          6427.18  |               39  |      6.01958e+06  |           1607.2  |  


